*Algorithm,Overall Accuracy,Raw Pitch Accuracy,Raw Chroma Accuracy,Voicing Recall Rate,Voicing False-Alarm Rate,Author
CWJ1,0.6888,0.7175,0.7467,0.896,0.4481,"Yu-Ren Chien, Hsin-Min Wang, Shyh-Kang Jeng"
HCCPH1,0.6357,0.6764,0.732,0.7869,0.3425,"Stacy Hsueh, Bob Coover, Ching-Wei Chen, Phillip Popp, Jinyu Han, Brian Pardo"
LYRS1,0.7174,0.8386,0.8555,0.9877,0.988,"Wei-Hsiang Liao, Chunghsin YEH, Axel Roebel, Wen Yu Su"
PJY1,0.7095,0.8763,0.887,0.7881,0.2514,"Sanghun Park, Seokhwan Jo, Chang D. Yoo"
SG1,0.8278,0.8755,0.8802,0.8926,0.1786,"Justin Salamon, Emilia G¨®mez"
SG2,0.8444,0.8885,0.8913,0.9055,0.1743,"Justin Salamon, Emilia G¨®mez"
TOS1,0.7154,0.8772,0.9112,0.7848,0.2011,"Hideyuki Tachibana, Takuma Ono, Nobutaka Ono, Shigeki Sagayama"
TY3,0.6958,0.811,0.815,1,0.9959,Tzu-Chun Yeh
TY4,0.6958,0.811,0.8139,1,0.9959,Tzu-Chun Yeh
YSLP1,0.73,0.7642,0.7673,0.9193,0.4615,"Jea-Yul Yoon, Chai-Jong Song, Seok-Pil Lee, Hochong Park"
