*Algorithm,Overall Accuracy,Raw Pitch Accuracy,Raw Chroma Accuracy,Voicing Recall Rate,Voicing False-Alarm Rate,Author
CWJ1,0.5251,0.6035,0.6610,0.9109,0.6196,"Yu-Ren Chien, Hsin-Min Wang, Shyh-Kang Jeng"
HCCPH1,0.4969,0.4087,0.4687,0.5809,0.2775,"Stacy Hsueh, Bob Coover, Ching-Wei Chen, Phillip Popp, Jinyu Han, Brian Pardo"
LYRS1,0.4671,0.7155,0.7380,0.9957,0.9859,"Wei-Hsiang Liao, Chunghsin Yeh, Axel Roebel, Wen Yu Su"
PJY1,0.7390,0.7792,0.8010,0.8917,0.2614,"Sanghun Park, Seokhwan Jo, Chang D. Yoo"
SG1,0.7807,0.8471,0.8637,0.9027,0.2717,"Justin Salamon, Emilia G¨®mez"
SG2,0.7807,0.8451,0.8614,0.9057,0.2710,"Justin Salamon, Emilia G¨®mez"
TOS1,0.7420,0.8438,0.8741,0.8825,0.2834,"Hideyuki Tachibana, Takuma Ono, Nobutaka Ono, Shigeki Sagayama"
TY3,0.5224,0.8047,0.8288,0.9998,0.9922,Tzu-Chun Yeh
TY4,0.5220,0.8042,0.8290,0.9998,0.9922,Tzu-Chun Yeh
YSLP1,0.5213,0.6023,0.6315,0.9199,0.6319,"Jea-Yul Yoon, Chai-Jong Song, Seok-Pil Lee, Hochong Park"
