*Algorithm,Overall Accuracy,Raw Pitch Accuracy,Raw Chroma Accuracy,Voicing Recall Rate,Voicing False-Alarm Rate,Author
CWJ1,0.6192,0.7107,0.7508,0.9173,0.539,"Yu-Ren Chien, Hsin-Min Wang, Shyh-Kang Jeng"
HCCPH1,0.5936,0.5619,0.6112,0.6951,0.2748,"Stacy Hsueh, Bob Coover, Ching-Wei Chen, Phillip Popp, Jinyu Han, Brian Pardo"
LYRS1,0.5402,0.8257,0.8351,0.9962,0.982,"Wei-Hsiang Liao, Chunghsin YEH, Axel Roebel, Wen Yu Su"
PJY1,0.8272,0.8555,0.8662,0.8899,0.1299,"Sanghun Park, Seokhwan Jo, Chang D. Yoo"
SG1,0.8508,0.9139,0.9227,0.9462,0.2084,"Justin Salamon, Emilia G¨®mez"
SG2,0.8516,0.9132,0.9198,0.9474,0.2037,"Justin Salamon, Emilia G¨®mez"
TOS1,0.8174,0.8746,0.9051,0.9081,0.1593,"Hideyuki Tachibana, Takuma Ono, Nobutaka Ono, Shigeki Sagayama"
TY3,0.5615,0.8654,0.8861,0.9998,0.9922,Tzu-Chun Yeh
TY4,0.5611,0.8647,0.8865,0.9998,0.9922,Tzu-Chun Yeh
YSLP1,0.6577,0.6956,0.7127,0.8908,0.4186,"Jea-Yul Yoon, Chai-Jong Song, Seok-Pil Lee, Hochong Park"
